Username,Astronomie,Besenfliegen,Geschichte der Zauberei,Kräuterkunde,Verteidigung gegen die dunklen Künste,Verwandlung,Zauberkunst,Zaubertränke
beige.angelfish,43,44,44,58,44,18,27,29
apricot.angelfish,22,46,49,57,58,61,42,51
plum.wombat,67,69,65,55,40,54,38,62
green.mite,65,42,49,50,61,66,49,79
blush.asp,43,29,51,47,43,36,39,46
amber.grasshopper,63,63,63,86,64,33,19,48
copper.chameleon,37,31,55,43,40,63,36,44
coffee.echidna,78,10,70,68,34,66,62,66
emerald.walrus,39,44,46,49,62,16,56,51
indigo.fly,53,58,63,63,57,14,39,47
tan.mockingbird,64,73,47,53,40,38,40,54
jade.amphibian,55,73,64,41,7,73,99,67
blush.goldfish,85,62,38,57,45,49,13,47
green.halibut,50,60,88,45,52,51,53,57
gold.xerinae,53,46,48,54,60,51,32,47
harlequin.bobcat,69,46,42,41,41,48,43,63
tomato.viper,77,47,43,62,42,48,34,56
coffee.pony,46,43,64,70,48,54,32,57
jade.partridge,51,66,61,67,31,54,41,71
olive.wildcat,67,79,62,53,62,24,50,78
azure.halibut,75,47,51,70,70,42,34,90
amethyst.hare,51,54,58,73,36,29,65,62
harlequin.pinniped,85,50,56,33,55,33,69,73
turquoise.tiger,31,46,55,62,62,54,78,57
black.swan,59,43,55,84,32,50,57,76
green.otter,59,39,48,66,71,44,40,69
red.pinniped,48,37,39,42,58,39,25,59
teal.goldfish,84,72,56,63,49,21,54,57
azure.toad,61,46,45,51,66,64,41,69
lime.crow,73,69,60,78,47,15,42,68
magenta.mongoose,53,57,52,57,40,50,83,65
emerald.flyingfish,55,35,51,32,34,62,49,76
jade.rodent,48,61,60,41,53,42,66,73
maroon.falcon,38,49,48,73,53,60,53,57
gray.fox,54,39,47,45,45,50,54,85
green.piranha,47,74,68,46,50,86,64,75
maroon.antlion,49,52,54,49,46,43,77,56
coral.pike,76,68,65,45,50,13,74,82
amber.caribou,78,33,70,45,68,44,64,57
pink.swallow,48,81,43,44,50,54,64,74
red.tahr,41,56,62,54,53,43,53,65
coffee.ferret,54,20,71,28,47,29,65,62
black.otter,71,48,63,36,70,41,37,29
brown.hippopotamus,55,27,50,64,44,52,43,51
black.cephalopod,74,66,46,59,58,54,34,76
yellow.wombat,33,29,47,50,43,34,33,50
aqua.goat,72,7,61,49,68,53,64,50
apricot.koala,51,43,53,46,58,50,46,52
scarlet.haddock,63,51,45,62,47,70,56,50
emerald.reptile,85,58,77,46,41,57,61,83
aqua.quail,68,57,85,35,37,26,64,70
blush.meadowlark,51,57,69,62,45,43,16,70
plum.emu,47,40,55,73,38,51,67,43
copper.goose,69,53,43,81,52,29,43,54
moccasin.butterfly,54,44,63,59,31,32,72,73
aquamarine.ox,77,62,62,41,65,36,63,38
teal.silverfish,33,36,58,28,50,26,48,53
salmon.ox,57,50,53,52,52,64,51,61
chocolate.cod,89,72,54,26,66,44,45,61
fuchsia.crane,39,21,43,59,93,4,55,54
yellow.cat,69,56,59,60,53,50,47,54
purple.swallow,51,68,56,44,60,34,58,44
beige.leopon,55,69,47,40,51,32,66,70
pink.parrot,39,61,53,53,44,46,50,52
tan.manatee,48,88,51,63,58,41,46,36
amethyst.landfowl,59,42,69,35,24,50,77,68
amber.bee,76,38,77,38,57,41,53,67
scarlet.unicorn,63,51,58,50,65,43,36,40
harlequin.blackbird,61,36,57,68,60,68,70,60
aqua.boar,47,51,54,53,75,56,76,62
gold.parakeet,52,50,56,71,54,40,55,56
bronze.coyote,39,40,71,37,20,42,73,67
lime.mammal,89,67,50,73,56,40,41,41
black.earthworm,86,29,54,52,32,62,21,52
fuchsia.warbler,72,37,58,65,40,62,20,42
olive.egret,26,16,66,73,41,45,32,63
turquoise.felidae,66,51,39,79,58,53,66,58
rose.carp,56,48,48,50,54,73,62,62
gray.wolf,54,47,58,74,50,30,48,49
chocolate.armadillo,48,58,44,40,57,58,63,32
aqua.clownfish,66,73,89,74,62,38,64,30
lavender.goldfish,60,73,50,52,35,34,62,15
gray.muskox,63,42,52,78,36,32,39,75
amber.spoonbill,79,44,43,40,48,52,47,67
red.centipede,89,61,50,62,64,34,46,50
olive.walrus,35,42,65,65,31,38,54,53
jade.gull,18,45,49,59,40,46,56,53
silver.aphid,52,37,57,51,56,50,63,73
olive.hoverfly,37,62,48,60,45,54,45,68
violet.fox,32,48,51,60,39,52,64,69
coral.salamander,65,73,48,43,50,35,45,41
blue.alligator,71,47,62,49,65,41,34,55
turquoise.earthworm,36,49,54,55,57,37,44,65
scarlet.mink,13,61,54,51,51,59,46,75
aqua.mouse,59,55,56,74,46,43,54,44
sapphire.wolf,60,70,42,46,68,41,61,69
amaranth.chinchilla,69,72,58,64,48,75,43,37
white.swift,70,49,65,45,49,55,41,58
gold.blackbird,30,66,58,60,67,64,41,85
maroon.rabbit,60,52,43,52,57,41,55,71
tomato.worm,61,74,75,62,47,52,33,86
lavender.quokka,50,48,46,50,67,31,57,45
pink.jaguar,47,67,36,57,54,48,37,65
magenta.koala,69,60,71,61,54,53,50,56
tomato.anglerfish,79,54,65,71,62,29,19,35
moccasin.roundworm,51,53,46,62,63,56,56,42
amethyst.quail,43,41,63,54,47,48,52,47
teal.gull,31,74,38,46,42,61,70,57
jade.cicada,81,38,46,31,57,34,31,74
amaranth.mockingbird,72,63,54,64,52,62,33,82
ivory.wildfowl,48,49,54,44,56,96,69,71
apricot.magpie,67,51,67,43,69,40,50,52
harlequin.bovid,44,56,38,35,55,42,28,57
coral.falcon,59,67,47,55,28,48,48,43
ivory.swordfish,61,40,54,71,68,26,75,46
lavender.skink,58,59,53,61,46,71,48,38
green.hookworm,74,88,64,77,29,48,29,47
moccasin.cricket,46,67,49,69,34,37,37,71
apricot.coral,55,28,61,77,58,71,60,33
harlequin.loon,79,43,53,48,52,60,63,56
yellow.newt,66,56,66,44,59,78,28,81
coral.ox,51,50,73,52,45,20,85,81
silver.goat,40,47,50,62,51,41,70,43
amaranth.fly,46,58,61,56,57,39,83,63
pink.narwhal,56,43,42,59,48,41,32,70
gray.antelope,70,23,43,57,63,59,53,34
turquoise.tern,51,36,48,27,61,55,87,36
lavender.haddock,46,39,64,67,49,39,61,43
magenta.crocodile,80,82,61,60,32,60,18,50
cyan.blackbird,72,46,41,47,45,50,16,58
green.bobcat,55,31,57,62,32,46,40,74
chocolate.guineafowl,68,32,47,64,73,50,50,56
tan.mink,66,41,33,31,49,65,44,38
olive.armadillo,44,42,46,51,49,28,59,69
gold.peacock,71,46,75,57,45,37,65,25
scarlet.whitefish,22,75,44,71,47,65,32,51
emerald.dog,51,57,77,66,27,54,67,72
violet.duck,31,55,32,68,69,63,28,15
blush.bass,42,73,48,28,60,60,40,73
purple.ox,96,60,50,28,68,46,47,51
magenta.anaconda,27,36,53,55,60,76,43,42
tan.amphibian,86,63,48,28,58,26,75,44
plum.starfish,76,60,56,64,65,69,70,77
white.squirrel,48,28,65,46,66,67,67,42
cyan.smelt,38,79,60,69,59,60,46,45
amethyst.tern,21,53,58,68,69,48,23,84
salmon.koi,72,62,45,40,42,39,60,63
scarlet.bird,44,47,77,86,46,39,57,43
copper.koi,45,65,51,69,68,40,49,55
jade.crane,65,37,62,29,52,41,58,50
magenta.swordtail,59,73,61,45,57,34,40,57
harlequin.guanaco,54,39,53,56,40,36,56,38
blue.sole,49,23,43,51,57,48,70,48
maroon.minnow,65,40,54,54,67,65,50,57
silver.rat,77,82,65,54,54,53,57,41
coral.limpet,77,42,41,68,39,52,75,74
violet.thrush,81,64,46,55,40,55,46,28
indigo.wolverine,20,19,55,70,49,49,27,70
beige.muskox,70,55,59,47,53,51,8,34
blush.lark,71,48,43,39,65,32,49,99
rose.coral,44,39,55,58,55,33,62,55
lime.orangutan,60,61,49,41,49,67,41,67
aquamarine.cuckoo,70,28,52,70,32,34,36,58
scarlet.wildebeest,56,37,51,54,58,69,51,51
peach.leopon,71,57,76,48,52,29,32,32
silver.beetle,56,63,57,70,38,50,93,81
brown.gopher,68,38,64,66,48,31,60,28
tomato.rabbit,65,32,44,26,74,43,74,31
sapphire.takin,38,39,45,44,40,54,46,67
green.meadowlark,61,40,51,56,36,24,51,51
coral.cow,69,77,57,55,61,48,53,63
plum.amphibian,32,59,57,40,58,45,37,78
amaranth.earthworm,72,51,57,78,59,49,46,66
amethyst.tahr,77,38,82,42,31,55,47,62
orange.crow,45,60,26,45,59,75,37,56
amaranth.koala,80,28,65,69,60,43,32,58
coral.barracuda,66,50,52,75,66,26,67,63
magenta.primate,40,43,32,54,35,24,46,36
magenta.sole,64,72,56,64,42,48,73,61
red.herring,44,55,55,67,65,71,45,46
orange.canidae,50,32,61,75,51,41,39,71
lavender.coral,49,39,60,68,36,59,19,55
peach.jackal,38,81,39,44,44,44,32,51
gray.chickadee,59,53,36,77,41,35,42,36
violet.sawfish,74,73,29,41,45,32,56,62
bronze.carp,91,41,54,67,43,63,42,63
moccasin.bovid,57,36,61,63,63,24,42,70
black.tahr,44,60,57,35,20,58,24,51
rose.marten,80,49,47,48,48,44,63,76
yellow.spoonbill,45,36,58,71,63,29,40,72
amethyst.gull,63,49,53,72,43,56,53,56
sapphire.catshark,66,71,68,60,45,55,66,50
lime.cattle,90,67,56,52,59,48,56,44
apricot.fox,52,45,65,48,42,35,33,56
bronze.flea,38,37,44,59,35,70,61,40
beige.tyrannosaurus,69,56,77,56,43,39,46,60
yellow.platypus,72,52,51,51,59,18,52,42
azure.warbler,53,70,40,56,50,42,41,55
amaranth.firefly,45,58,57,48,63,31,72,45
gold.walrus,29,42,61,31,57,51,48,49
purple.quokka,37,51,51,54,50,50,46,27
pink.possum,38,47,51,43,65,31,38,54
amber.cobra,33,33,84,51,63,66,51,69
magenta.caribou,81,74,73,76,71,16,30,60
jade.leech,55,72,58,55,72,43,56,60
fuchsia.marlin,70,97,59,49,54,59,35,60
magenta.cricket,65,55,71,44,24,30,41,67
bronze.wallaby,66,36,43,54,40,52,72,55
copper.wallaby,34,62,30,47,61,42,55,70
green.viper,97,77,65,66,54,49,47,56
amaranth.flamingo,59,62,53,65,49,41,54,67
teal.blackbird,14,44,46,64,51,40,52,65
coffee.lemur,88,41,48,35,80,54,69,34
peach.cricket,52,67,73,36,48,39,30,65
red.catfish,60,59,40,59,64,42,47,66
coffee.termite,30,54,55,47,68,21,51,43
purple.dragon,41,58,48,51,52,46,47,48
teal.sturgeon,38,74,47,67,50,52,39,47
green.gazelle,46,55,42,51,60,65,84,84
plum.moth,63,53,59,59,53,44,36,48
rose.ostrich,57,57,65,57,46,65,52,58
silver.falcon,55,33,51,72,55,45,52,68
apricot.hawk,58,54,52,74,51,44,51,22
tan.badger,74,69,49,67,64,53,53,74
crimson.chipmunk,41,54,46,57,69,38,46,72
pink.marlin,16,47,51,55,52,48,55,52
sapphire.lion,56,66,43,34,44,42,31,41
tomato.ferret,42,44,84,47,63,44,48,54
white.reptile,59,49,58,50,31,17,43,42
aquamarine.earwig,47,50,80,60,49,51,73,54
peach.silverfish,60,70,64,80,49,54,50,39
jade.guineafowl,72,35,59,24,61,26,47,69
gold.barracuda,61,26,53,50,31,49,52,41
magenta.dolphin,55,47,60,44,49,49,56,61
apricot.tiger,66,55,51,75,50,52,19,36
salmon.frog,45,79,60,58,56,61,51,60
coral.capybara,41,76,46,19,34,41,79,42
scarlet.python,58,38,76,44,54,67,39,59
gray.swift,53,65,40,35,48,71,60,52
magenta.flea,60,46,45,52,21,34,60,77
lavender.emu,47,33,76,62,57,45,34,42
red.crawdad,62,55,63,31,43,39,46,27
sapphire.loon,31,41,63,51,59,49,43,48
indigo.tuna,32,54,71,68,43,71,30,46
brown.reptile,51,24,59,65,26,55,59,38
emerald.earwig,76,62,42,64,46,49,79,64
fuchsia.wildcat,67,54,64,52,34,55,69,65
teal.gayal,58,69,64,44,67,71,62,52
emerald.caterpillar,89,61,60,51,52,68,53,55
maroon.tapir,77,39,69,15,55,35,56,67
aquamarine.beaver,35,71,54,39,57,41,50,55
aquamarine.porpoise,69,54,39,49,54,29,32,77
gray.lemur,54,75,40,69,59,74,37,64
purple.marlin,20,43,58,37,30,48,27,85
silver.jaguar,51,33,68,49,57,39,16,54
turquoise.caterpillar,58,57,40,63,66,56,58,54
moccasin.ferret,51,59,69,53,65,47,27,52
beige.rat,37,50,45,67,50,23,51,60
pink.crow,69,58,35,72,56,7,43,56
purple.elephant,73,45,70,72,57,46,41,52
amethyst.mollusk,56,53,25,56,23,41,36,66
aquamarine.snipe,25,68,53,54,42,55,29,40
harlequin.porcupine,52,33,55,61,78,47,60,77
silver.felidae,59,46,39,42,63,25,32,51
silver.vole,55,40,47,57,51,46,67,34
moccasin.crow,64,45,58,57,30,58,72,74
indigo.woodpecker,61,67,68,38,61,67,93,62
aqua.rook,55,36,49,34,51,32,65,53
amber.marten,39,45,57,60,74,42,77,64
orange.lark,48,42,48,56,55,71,39,69
harlequin.bass,50,62,45,63,26,63,54,64
black.hyena,75,35,68,41,42,57,42,56
yellow.bird,17,50,54,48,55,61,41,55
amethyst.lemming,60,44,53,72,55,54,26,87
turquoise.koi,50,40,58,42,39,61,81,58
tan.bonobo,48,72,63,67,44,43,21,67
chocolate.gull,44,56,75,57,63,57,36,77
red.leopon,50,65,43,50,53,37,41,65
coral.pheasant,61,48,42,67,34,48,20,69
blue.yak,66,59,46,24,38,72,42,58
coffee.walrus,48,56,35,45,50,21,48,72
aquamarine.panther,58,58,49,47,52,49,31,76
jade.spider,67,41,46,49,51,54,58,82
orange.perch,18,35,76,55,53,67,44,62
blush.cephalopod,62,66,57,52,43,48,62,73
coffee.newt,66,65,42,32,43,44,36,37
turquoise.marten,55,34,65,38,74,39,93,71
silver.camel,62,35,47,54,40,39,40,73
gold.smelt,39,39,56,66,37,69,34,63
copper.constrictor,28,45,61,54,38,41,38,69
chocolate.viper,54,64,53,64,59,60,59,53
plum.vole,78,71,77,46,33,44,30,69
gray.platypus,93,38,43,67,33,23,46,56
rose.sheep,49,54,60,45,34,28,56,42
magenta.sturgeon,50,34,45,37,53,69,27,67
violet.tarantula,70,39,46,50,62,41,35,67
red.hornet,50,45,78,65,40,36,84,70
gold.panda,22,73,52,50,45,38,39,51
brown.tarantula,33,66,78,44,36,47,50,38
blue.koi,47,45,71,60,53,19,46,69
gold.mastodon,75,63,45,29,50,51,54,71
crimson.yak,67,50,84,46,44,60,45,57
magenta.grouse,65,54,53,80,42,23,53,65
scarlet.otter,50,32,48,28,67,32,52,46
crimson.puma,53,56,63,29,11,71,56,70
pink.penguin,74,65,60,57,51,64,66,54
brown.roundworm,40,62,64,91,43,42,34,64
blue.tuna,57,56,78,67,64,45,38,76
lavender.albatross,71,34,59,35,68,34,20,74
maroon.eagle,83,60,66,60,56,70,78,53
coffee.snail,36,27,73,48,40,60,49,67
gold.tick,67,40,72,45,52,32,47,72
pink.rabbit,56,64,61,63,49,59,16,70
lavender.stoat,81,42,65,54,35,35,9,44
sapphire.shark,71,46,35,67,46,42,75,67
blush.dingo,23,72,58,64,50,52,14,59
jade.sawfish,52,48,75,49,48,54,44,58
silver.vicuna,70,56,60,52,56,31,37,67
yellow.skunk,58,51,59,58,50,56,58,58
copper.blackbird,54,47,76,46,48,34,52,50
crimson.grouse,61,67,69,64,64,40,48,60
ivory.parrot,33,45,51,50,23,54,20,48
olive.cheetah,63,68,45,68,28,35,46,48
cyan.wasp,51,51,28,61,60,44,44,69
turquoise.lamprey,81,48,50,48,40,65,57,62
coffee.pheasant,50,30,49,33,63,28,60,80
gold.fox,59,77,62,35,76,73,45,61
tan.duck,53,55,56,51,16,76,69,69
plum.finch,55,69,47,63,40,61,36,53
sapphire.ostrich,40,56,52,16,60,40,43,50
teal.crow,84,46,57,38,28,46,28,72
peach.fly,74,36,46,46,50,34,40,36
gray.yak,73,45,70,55,60,41,22,39
moccasin.kangaroo,43,36,54,45,61,39,62,69
bronze.jay,62,33,79,58,45,52,39,42
yellow.kingfisher,66,65,37,65,57,56,79,65
black.chimpanzee,40,41,45,54,60,47,37,44
red.mole,67,78,58,63,38,74,61,51
rose.gopher,42,60,50,47,60,46,68,59
gray.spoonbill,67,54,49,56,49,50,37,65
emerald.swordfish,77,70,78,55,29,54,40,63
purple.dragonfly,68,39,58,39,49,47,41,54
gray.hare,77,38,51,54,45,41,53,85
maroon.reptile,45,66,71,40,47,35,34,49
yellow.magpie,67,64,56,73,68,52,52,59
amaranth.sawfish,71,57,49,76,34,35,47,68
jade.louse,62,41,57,56,51,65,51,70
bronze.bobcat,78,47,37,55,76,38,51,77
salmon.krill,34,78,55,40,66,29,38,62
magenta.octopus,76,53,63,66,52,33,33,64
indigo.damselfly,84,27,44,42,45,51,42,67
gold.mite,87,72,71,62,56,38,46,63
violet.bear,48,65,61,63,43,28,43,46
chocolate.guan,63,34,55,72,52,50,23,52
lavender.guineafowl,61,52,70,45,50,56,50,51
lime.smelt,56,55,64,55,75,70,28,43
maroon.wolverine,50,86,54,28,38,50,58,70
peach.hookworm,55,55,42,63,44,22,73,55
white.heron,41,75,49,69,47,64,51,70
crimson.snake,46,72,47,55,52,91,53,55
tomato.ant,44,40,58,70,40,43,60,48
rose.cricket,57,38,47,55,71,47,58,62
cyan.grouse,66,41,48,44,43,42,71,63
gray.fly,64,56,42,53,87,52,37,58
jade.moose,40,51,66,66,64,39,53,73
olive.peacock,57,56,47,57,69,50,61,69
fuchsia.guan,30,52,32,74,47,34,56,48
fuchsia.trout,68,37,50,70,50,68,50,59
green.chipmunk,44,73,68,45,29,50,47,59
black.gayal,35,55,44,49,38,61,44,68
tan.sole,68,56,90,29,36,34,44,65
orange.turtle,54,59,51,61,72,24,34,73
plum.mastodon,34,47,35,57,63,30,41,45
sapphire.planarian,66,48,68,55,40,39,36,22
magenta.herring,63,26,26,31,62,65,27,71
orange.viper,38,67,57,45,41,47,50,49
amber.smelt,55,43,41,69,60,39,48,50
green.quail,55,49,56,76,61,34,21,44
gray.vulture,91,47,56,48,46,36,50,78
plum.snipe,65,46,80,45,39,51,46,54
apricot.bovid,66,41,56,50,38,63,52,70
fuchsia.cardinal,60,63,58,62,61,72,33,74
apricot.koi,59,68,63,49,78,53,50,78
brown.pheasant,31,64,41,51,55,48,39,67
coral.bonobo,32,52,38,50,49,45,16,62
sapphire.porpoise,96,56,37,50,78,38,14,34
indigo.mandrill,52,62,49,67,44,46,51,52
azure.perch,45,32,51,63,51,54,49,73
aqua.salmon,83,48,49,59,71,36,43,77
orange.capybara,62,72,59,55,47,68,68,54
coral.antelope,21,43,58,60,53,43,60,51
coffee.slug,60,41,57,52,54,42,45,72
white.antlion,75,51,69,59,55,60,37,51
pink.slug,52,51,42,45,21,48,48,40
emerald.bass,51,52,50,25,59,59,62,53
lavender.chameleon,30,50,61,52,60,34,26,41
maroon.lark,42,43,43,58,36,45,69,57
brown.guppy,65,40,49,69,36,67,42,38
yellow.shrew,73,68,53,76,70,50,53,69
magenta.dragonfly,59,28,63,67,29,43,27,53
blue.boa,75,40,61,60,63,28,58,76
fuchsia.wasp,70,34,68,45,41,75,63,48
magenta.narwhal,56,36,63,39,42,46,74,67
scarlet.marmot,63,48,64,52,55,42,35,45
gray.gamefowl,58,50,45,70,67,45,47,38
jade.ocelot,54,67,53,63,40,53,37,76
crimson.locust,50,42,32,44,65,43,59,48
azure.deer,53,34,54,80,30,49,63,70
crimson.toucan,62,65,43,30,61,62,62,73
green.muskox,63,73,52,49,49,41,35,68
azure.squirrel,61,45,40,38,54,55,30,57
moccasin.woodpecker,60,50,43,59,54,29,43,63
sapphire.mollusk,65,49,74,56,60,34,57,70
tan.felidae,90,55,37,43,73,51,50,28
maroon.pike,77,30,55,77,52,63,57,41
fuchsia.gamefowl,63,60,64,39,48,34,41,43
scarlet.butterfly,42,42,56,53,45,48,75,44
yellow.vole,39,50,60,67,66,52,71,68
magenta.clownfish,61,66,43,43,54,41,73,49
chocolate.damselfly,41,56,42,44,56,50,27,49
bronze.warbler,53,38,36,63,58,31,27,67
emerald.silverfish,69,30,69,62,21,49,44,55
olive.cuckoo,54,70,83,56,67,53,24,67
bronze.louse,58,59,57,56,41,69,74,44
azure.termite,46,62,60,57,50,38,21,47
harlequin.panther,68,69,47,47,39,59,51,63
silver.mink,61,64,75,64,55,86,32,72
tan.llama,37,42,52,47,55,27,8,59
coffee.gull,38,62,74,38,56,40,48,44
copper.rattlesnake,57,58,84,27,54,53,36,56
yellow.crocodile,52,68,50,47,55,41,51,82
blue.buzzard,44,33,65,62,49,48,45,63
pink.eel,53,55,39,63,46,40,57,56
aquamarine.armadillo,63,67,59,38,49,39,68,59
amber.prawn,34,32,56,59,48,63,48,41
black.leopon,70,47,79,45,53,41,68,59
peach.scallop,69,38,64,50,46,42,33,33
cyan.iguana,93,58,72,58,71,41,76,41
amethyst.bat,53,58,47,27,68,57,42,74
scarlet.bee,46,64,47,46,55,53,34,40
amethyst.duck,60,56,49,56,58,44,84,55
fuchsia.sawfish,48,66,44,55,42,59,24,68
amber.koi,34,64,42,30,55,37,70,57
ivory.cat,59,41,42,41,35,58,22,43
aqua.viper,88,30,59,36,54,30,33,49
copper.kite,62,45,62,62,58,34,75,64
lime.ladybug,72,47,52,39,67,34,27,59
tan.blackbird,23,59,57,36,35,40,41,45
teal.puma,60,40,51,50,52,54,76,64
coffee.wombat,31,47,34,46,40,49,38,53
scarlet.gazelle,53,54,57,72,28,43,53,82
amaranth.tern,75,64,54,48,56,35,56,92
red.pony,64,66,47,66,68,37,51,56
brown.hyena,66,66,64,61,73,39,42,62
green.guanaco,38,28,60,59,62,42,45,44
amaranth.chipmunk,39,37,58,42,49,27,36,65
blush.gorilla,51,49,67,70,36,56,37,82
olive.wildfowl,34,72,86,71,57,62,15,85
fuchsia.ladybug,58,59,51,62,39,55,79,82
harlequin.perch,48,45,36,46,34,51,48,31
yellow.mammal,59,59,51,38,43,58,56,60
green.platypus,50,73,49,50,68,36,55,46
azure.jaguar,46,43,65,72,29,55,59,32
moccasin.viper,83,41,55,46,83,46,70,56
pink.pinniped,85,52,54,43,62,51,51,35
gray.dog,51,41,57,62,65,60,66,50
fuchsia.vulture,39,43,39,55,23,47,56,63
peach.jaguar,61,54,54,51,72,95,90,44
jade.seahorse,65,34,46,57,39,43,72,69
blue.turkey,47,42,48,49,33,47,33,55
black.snipe,66,87,47,62,40,84,37,42
red.constrictor,79,65,59,46,46,28,24,57
blush.cougar,64,42,57,47,53,59,20,88
apricot.asp,64,51,37,37,45,40,45,58
copper.mockingbird,45,67,37,79,48,49,51,33
crimson.tiger,49,42,71,52,52,67,69,79
azure.bug,64,59,47,41,43,81,66,76
bronze.roadrunner,56,59,45,54,69,64,39,62
brown.peacock,71,68,51,51,34,42,36,49
aqua.seahorse,51,57,64,45,43,46,57,62
maroon.carp,68,42,52,44,60,49,41,81
tan.rhinoceros,38,46,39,48,50,25,7,57
aqua.herring,42,50,61,64,37,39,44,54
gold.elk,54,50,49,41,54,69,59,89
lime.tiger,72,57,54,58,42,45,66,56
aquamarine.roadrunner,51,58,71,45,58,55,65,33
plum.lynx,56,50,64,43,43,30,39,55
magenta.bedbug,62,40,45,44,55,46,61,32
ivory.roundworm,67,34,66,59,60,51,19,56
ivory.dragon,60,29,44,46,69,46,57,41
blush.squirrel,4,60,30,59,59,68,39,70
turquoise.anglerfish,54,56,43,52,79,46,48,31
jade.earthworm,39,57,66,28,63,33,47,65
blush.armadillo,45,31,38,72,53,33,26,68
amethyst.catfish,80,52,68,53,50,62,61,55
teal.pheasant,92,38,37,54,50,64,34,46
crimson.hawk,69,49,70,59,54,38,70,61
apricot.wolverine,45,59,74,32,47,71,40,72
indigo.constrictor,89,65,42,43,62,57,81,57
orange.cougar,53,54,71,49,45,37,75,64
